sample_id,repo,commit_hash,file_path,entity_type,entity_name,entity_signature,javadoc_change_type,method_change_type,issue_id,issue_summary
sample_0018,apache/commons-collections,87647d0812f3ec8f10ead3d2059e60801f7538b7,src/main/java/org/apache/commons/collections4/bloomfilter/BloomFilter.java,method,merge,default BloomFilter merge(BloomFilter other),JAVADOC_MODIFICATION,METHOD_MODIFICATION,#258,Simplify bloom filters
sample_0019,apache/commons-collections,e85e26e7bb433d38d7e383361f6f42c1a8d6aa50,src/main/java/org/apache/commons/collections4/trie/AbstractBitwiseTrie.java,method,compare,"static boolean compare(final Object a, final Object b)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,#307,When possible use java.lang.Objects#equals; eliminated a couple of nulls
sample_0020,apache/commons-collections,ffd2a02d8559428e6f80a54a77b3b8d76b7762fb,src/main/java/org/apache/commons/collections4/iterators/UnmodifiableListIterator.java,method,umodifiableListIterator,@Deprecated public static <E> ListIterator<E> umodifiableListIterator(final ListIterator<? extends E> iterator),JAVADOC_MODIFICATION,METHOD_MODIFICATION,COLLECTIONS-796,SetUniqueList.createSetBasedOnList doesn't add list elements to return value
sample_0021,apache/commons-collections,7b92e562abac1d96abf492a3e91918253d6db39e,src/main/java/org/apache/commons/collections4/iterators/ListIteratorWrapper.java,method,remove,@Override public void remove() throws IllegalStateException,JAVADOC_MODIFICATION,METHOD_MODIFICATION,COLLECTIONS-765,Corrected javadoc and thrown exception type to match the functionallity
sample_0022,apache/commons-collections,7eb78290c8d7d1fa379536700de0bd4a81320bb0,src/main/java/org/apache/commons/collections4/CollectionUtils.java,method,union,"public static <O> Collection<O> union(final Iterable<? extends O> a, final Iterable<? extends O> b)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,#117,Better NPE messages in CollectionUtils with Objects.requireNonNull
sample_0023,apache/commons-collections,7eb78290c8d7d1fa379536700de0bd4a81320bb0,src/main/java/org/apache/commons/collections4/CollectionUtils.java,method,intersection,"public static <O> Collection<O> intersection(final Iterable<? extends O> a, final Iterable<? extends O> b)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,#117,Better NPE messages in CollectionUtils with Objects.requireNonNull
sample_0024,apache/commons-collections,7eb78290c8d7d1fa379536700de0bd4a81320bb0,src/main/java/org/apache/commons/collections4/CollectionUtils.java,method,disjunction,"public static <O> Collection<O> disjunction(final Iterable<? extends O> a, final Iterable<? extends O> b)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,#117,Better NPE messages in CollectionUtils with Objects.requireNonNull
sample_0025,apache/commons-collections,39aef5978586b0c344daf4e84a508895722e7f49,src/main/java/org/apache/commons/collections4/bloomfilter/hasher/DynamicHasher.java,class,Iterator,private class Iterator implements PrimitiveIterator.OfInt,JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Optimise DynamicHasher iterator.
sample_0026,apache/commons-collections,bbee9fbd9b7d4a392ea2a43e8413065195d1823a,src/main/java/org/apache/commons/collections4/bloomfilter/hasher/Hasher.java,class,Builder,interface Builder,JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Update Hasher.Builder.
sample_0027,apache/commons-collections,0964d5bf19ec97c8588cfdd8c02e76a7e71b047d,src/main/java/org/apache/commons/collections4/bloomfilter/hasher/Shape.java,method,Shape,"public Shape(final HashFunctionIdentity hashFunctionIdentity, final double probability, final int numberOfBits, final int numberOfHashFunctions)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Standardise Shape constructor validations.
sample_0028,apache/commons-collections,0964d5bf19ec97c8588cfdd8c02e76a7e71b047d,src/main/java/org/apache/commons/collections4/bloomfilter/hasher/Shape.java,method,getProbability,public double getProbability(),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Standardise Shape constructor validations.
sample_0029,apache/commons-collections,e08f0be55b9e17d9e03e6f311b76044cb786cd7a,src/main/java/org/apache/commons/collections4/bloomfilter/CountingBloomFilter.java,method,merge,@Override public void merge(final BloomFilter other),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Revert CountingBloomFilter to ignore counts from another filter.
sample_0030,apache/commons-collections,e585cd0433ae4cfbc56e58572b9869bd0c86b611,src/main/java/org/apache/commons/collections4/functors/CloneTransformer.java,class,CloneTransformer,"public class CloneTransformer<T> implements Transformer<T, T>",JAVADOC_MODIFICATION,METHOD_MODIFICATION,COLLECTIONS-580,Removed serialization support for the identified unsafe classes in the collections4 branch.
sample_0031,apache/commons-collections,e585cd0433ae4cfbc56e58572b9869bd0c86b611,src/main/java/org/apache/commons/collections4/functors/ForClosure.java,class,ForClosure,public class ForClosure<E> implements Closure<E>,JAVADOC_MODIFICATION,METHOD_MODIFICATION,COLLECTIONS-580,Removed serialization support for the identified unsafe classes in the collections4 branch.
sample_0032,apache/commons-collections,e585cd0433ae4cfbc56e58572b9869bd0c86b611,src/main/java/org/apache/commons/collections4/functors/InstantiateFactory.java,class,InstantiateFactory,public class InstantiateFactory<T> implements Factory<T>,JAVADOC_MODIFICATION,METHOD_MODIFICATION,COLLECTIONS-580,Removed serialization support for the identified unsafe classes in the collections4 branch.
sample_0033,apache/commons-collections,68bbd2cf4a5c0eff498d46dddd527cb06274f852,src/main/java/org/apache/commons/collections4/CollectionUtils.java,method,extractSingleton,public static <E> E extractSingleton(final Collection<E> collection),JAVADOC_MODIFICATION,METHOD_MODIFICATION,COLLECTIONS-570,Consistently use a NullPointerException if a required input is null.
sample_0034,apache/commons-collections,68bbd2cf4a5c0eff498d46dddd527cb06274f852,src/main/java/org/apache/commons/collections4/splitmap/TransformedSplitMap.java,method,TransformedSplitMap,"protected TransformedSplitMap(final Map<K, V> map, final Transformer<? super J, ? extends K> keyTransformer, final Transformer<? super U, ? extends V> valueTransformer)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,COLLECTIONS-570,Consistently use a NullPointerException if a required input is null.
sample_0035,apache/commons-collections,1954a51bb5aa0ab3cf762c07b961ea8fd873f17a,src/main/java/org/apache/commons/collections4/multimap/AbstractMultiValuedMap.java,method,putAll,"@Override public boolean putAll(final Map<? extends K, ? extends V> map)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Continue review of multimap package.
sample_0036,apache/commons-collections,4f5a854b287fc4cd24cbd316c704d15d6f3d4ac5,src/main/java/org/apache/commons/collections4/multimap/AbstractMultiValuedMap.java,method,putAll,"@Override public boolean putAll(final K key, final Iterable<? extends V> values)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,"Continue review of MultiValuedMap interface and implementations: code style and formatting, use NullPointerException for null arguments, use MultiSet instead of Bag."
sample_0037,apache/commons-collections,f4693f0adf5c9994127890877d018c4ba7bbca06,src/main/java/org/apache/commons/collections4/FluentIterable.java,method,of,public static <T> FluentIterable<T> of(final Iterable<T> iterable),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,"Clarify null argument behavior of IterableUtils and FluentIterable: decorators do not accept null values, whereas utility methods are null-safe wrt Iterable instances."
sample_0038,apache/commons-collections,f4693f0adf5c9994127890877d018c4ba7bbca06,src/main/java/org/apache/commons/collections4/FluentIterable.java,method,zip,public FluentIterable<E> zip(final Iterable<? extends E>... others),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,"Clarify null argument behavior of IterableUtils and FluentIterable: decorators do not accept null values, whereas utility methods are null-safe wrt Iterable instances."
sample_0039,apache/commons-collections,f4693f0adf5c9994127890877d018c4ba7bbca06,src/main/java/org/apache/commons/collections4/IterableUtils.java,class,IterableUtils,public class IterableUtils,JAVADOC_MODIFICATION,METHOD_MODIFICATION,,"Clarify null argument behavior of IterableUtils and FluentIterable: decorators do not accept null values, whereas utility methods are null-safe wrt Iterable instances."
sample_0040,apache/commons-collections,80b08f8c3ad0c9386447ba54e277ef31041ebf86,src/main/java/org/apache/commons/collections4/CollectionUtils.java,method,cardinality,"@Deprecated public static <O> int cardinality(final O obj, final Iterable<? super O> coll)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,"Move cardinality method, rename frequency to countMatches."
sample_0041,apache/commons-collections,6c8caea3311ce08b6fa1bd2eb38054494faa2949,src/main/java/org/apache/commons/collections4/CollectionUtils.java,method,forAllButLastDo,"@Deprecated public static <T, C extends Closure<? super T>> T forAllButLastDo(final Iterable<T> collection, final C closure)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,COLLECTIONS-551,"Move forAllButLastDo methods, add unmodifiableIterable."
sample_0042,apache/commons-collections,ed39f93348bec6fc6df694b54bdf9b70503404b0,src/main/java/org/apache/commons/collections4/FluentIterable.java,method,of,public static <T> FluentIterable<T> of(final Iterable<T> iterable),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,"Add more tests, add emptyIterable() method."
sample_0043,apache/commons-collections,2d00ed4676f637af5d81333d750c74e3ad185313,src/main/java/org/apache/commons/collections4/CollectionUtils.java,method,find,"@Deprecated public static <T> T find(final Iterable<T> collection, final Predicate<? super T> predicate)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,COLLECTIONS-551,Move more methods from CollectionUtils.
sample_0044,apache/commons-collections,2d00ed4676f637af5d81333d750c74e3ad185313,src/main/java/org/apache/commons/collections4/CollectionUtils.java,method,forAllDo,"@Deprecated public static <T, C extends Closure<? super T>> C forAllDo(final Iterable<T> collection, final C closure)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,COLLECTIONS-551,Move more methods from CollectionUtils.
sample_0045,apache/commons-collections,d684f950c4a29d10097590cbe4346ad6e82e5e25,src/main/java/org/apache/commons/collections4/CollectionUtils.java,method,countMatches,"@Deprecated public static <C> int countMatches(final Iterable<C> input, final Predicate<? super C> predicate)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,COLLECTIONS-551,First bunch of methods which take an Iterable/Iterator/Enumeration as input shall be moved to the appropriate Util classes. Mark existing methods in CollectionUtils as deprecated.
sample_0046,apache/commons-collections,d684f950c4a29d10097590cbe4346ad6e82e5e25,src/main/java/org/apache/commons/collections4/CollectionUtils.java,method,exists,"@Deprecated public static <C> boolean exists(final Iterable<C> input, final Predicate<? super C> predicate)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,COLLECTIONS-551,First bunch of methods which take an Iterable/Iterator/Enumeration as input shall be moved to the appropriate Util classes. Mark existing methods in CollectionUtils as deprecated.
sample_0047,apache/commons-collections,d684f950c4a29d10097590cbe4346ad6e82e5e25,src/main/java/org/apache/commons/collections4/CollectionUtils.java,method,matchesAll,"@Deprecated public static <C> boolean matchesAll(final Iterable<C> input, final Predicate<? super C> predicate)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,COLLECTIONS-551,First bunch of methods which take an Iterable/Iterator/Enumeration as input shall be moved to the appropriate Util classes. Mark existing methods in CollectionUtils as deprecated.
sample_0048,apache/commons-collections,2eb1586bf77efcacf701df14ad98d1d6a704a35e,src/main/java/org/apache/commons/collections4/map/LRUMap.java,method,LRUMap,"public LRUMap(final int maxSize, final float loadFactor, final boolean scanUntilRemovable)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,COLLECTIONS-557,Added support to specify the initial size of a LRUMap. Thanks to Philippe Mouawad.
sample_0049,apache/commons-collections,27a92653a00658f76f91752f1fd88b93d8dfc7f8,src/main/java/org/apache/commons/collections4/CollectionUtils.java,method,get,"@Deprecated public static <T> T get(final Iterator<T> iterator, final int index)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,COLLECTIONS-464,"Add first version of a FluentIterable implementation, cleanup recently toString methods in IterableUtils, add SkippingIterator and additional methods to IteratorUtils and IterableUtils."
sample_0050,apache/commons-collections,583d96b0895beafad326793c0cd0d273013ff137,src/main/java/org/apache/commons/collections4/bag/TreeBag.java,method,add,@Override public boolean add(final E object),JAVADOC_MODIFICATION,METHOD_MODIFICATION,COLLECTIONS-555,Added clarification to TreeBag#add(Object) wrt null arguments. Thanks to M Kim.
sample_0051,apache/commons-collections,30e5023265aa76e6c32d3ba43952aac964112ebc,src/main/java/org/apache/commons/collections4/collection/AbstractCollectionDecorator.java,class,AbstractCollectionDecorator,"public abstract class AbstractCollectionDecorator<E> implements Collection<E>, Serializable",JAVADOC_MODIFICATION,METHOD_MODIFICATION,COLLECTIONS-543,AbstractCollectionDecorator does not forward equals and hashCode anymore to the backing collection.
sample_0052,apache/commons-collections,0721f49bf0d8b954c8a4b8d75e5375de43af981e,src/main/java/org/apache/commons/collections4/multimap/AbstractMultiValuedMap.java,method,remove,public Collection<V> remove(Object key),JAVADOC_MODIFICATION,METHOD_MODIFICATION,COLLECTIONS-508,Further additions.
sample_0053,apache/commons-collections,fe63f95fbff43495e57ebc37350798dee024cf9a,src/main/java/org/apache/commons/collections4/map/ListOrderedMap.java,method,putAll,"public void putAll(int index, final Map<? extends K, ? extends V> map)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,COLLECTIONS-474,"Added sanity checks, javadoc clarification, changelog entry."
sample_0054,apache/commons-collections,cdacd4a987755572bd4d6d328b371644ac07ecd2,src/main/java/org/apache/commons/collections4/iterators/IteratorChain.java,class,IteratorChain,public class IteratorChain<E> implements Iterator<E>,JAVADOC_MODIFICATION,METHOD_MODIFICATION,COLLECTIONS-460,Change IteratorChain to use a Queue internally.
sample_0055,apache/commons-collections,b8eee79ccea3a5e1ebf9ee3fc4b8e1a2dda82a69,src/main/java/org/apache/commons/collections/ArrayStack.java,class,ArrayStack,@Deprecated public class ArrayStack<E> extends ArrayList<E>,JAVADOC_MODIFICATION,METHOD_MODIFICATION,COLLECTION-432,Remove Buffer interface from ArrayStack.
sample_0056,apache/commons-collections,0f0b8710e24160576f29504ef3e3bcbe34f22770,src/main/java/org/apache/commons/collections/set/CompositeSet.java,class,CompositeSet,"public class CompositeSet<E> implements Set<E>, Serializable",JAVADOC_MODIFICATION,METHOD_MODIFICATION,COLLECTIONS-424,"CompositeSet: remove inheritance from CompositeCollection, update mutator class and unit tests."
sample_0057,apache/commons-collections,0f0b8710e24160576f29504ef3e3bcbe34f22770,src/main/java/org/apache/commons/collections/set/CompositeSet.java,class,SetMutator,public static interface SetMutator<E> extends Serializable,JAVADOC_MODIFICATION,METHOD_MODIFICATION,COLLECTIONS-424,"CompositeSet: remove inheritance from CompositeCollection, update mutator class and unit tests."
sample_0058,apache/commons-collections,d1ba17365fd8abbda6d08768da270022915baec9,src/main/java/org/apache/commons/collections/collection/IndexedCollection.java,method,addToIndex,private void addToIndex(final C object),JAVADOC_MODIFICATION,METHOD_MODIFICATION,COLLECTIONS-275,"Finished IndexedCollection by supporting non-uniqueness of keys, fixes tests."
sample_0059,apache/commons-collections,6516216f09ac380163e8e98d77178af81bbae6cc,src/main/java/org/apache/commons/collections/CollectionUtils.java,method,containsAll,"public static boolean containsAll(final Collection<?> coll1, final Collection<?> coll2)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,COLLECTIONS-429,Fix containsAll in case coll2 contains the same value multiple times.
sample_0060,apache/commons-collections,5011f8cabdadf7a125e1a9f6dcf05edd2a667cab,src/main/java/org/apache/commons/collections/functors/SwitchTransformer.java,method,getPredicates,public Predicate<? super I>[] getPredicates(),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Fix findbugs warning wrt exposure of internal state.
sample_0061,apache/commons-collections,5011f8cabdadf7a125e1a9f6dcf05edd2a667cab,src/main/java/org/apache/commons/collections/functors/SwitchTransformer.java,method,getTransformers,"public Transformer<? super I, ? extends O>[] getTransformers()",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Fix findbugs warning wrt exposure of internal state.
sample_0062,apache/commons-collections,76d6a4b8e4403a99bb670fdba799f3e03240cdba,src/main/java/org/apache/commons/collections/functors/ChainedClosure.java,method,getClosures,public Closure<? super E>[] getClosures(),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Fix findbugs warning wrt exposed internal representation.
sample_0063,apache/commons-collections,76d6a4b8e4403a99bb670fdba799f3e03240cdba,src/main/java/org/apache/commons/collections/functors/ChainedTransformer.java,method,getTransformers,"public Transformer<? super T, ? extends T>[] getTransformers()",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Fix findbugs warning wrt exposed internal representation.
sample_0064,apache/commons-collections,76d6a4b8e4403a99bb670fdba799f3e03240cdba,src/main/java/org/apache/commons/collections/functors/SwitchClosure.java,method,getPredicates,public Predicate<? super E>[] getPredicates(),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Fix findbugs warning wrt exposed internal representation.
sample_0065,apache/commons-collections,02fadfb56855365a2f203644ad5663d2bbfc6307,src/main/java/org/apache/commons/collections/map/DefaultedMap.java,method,DefaultedMap,"protected DefaultedMap(Map<K, V> map, Transformer<? super K, ? extends V> defaultValueTransformer)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Fixed TODO wrt argument checks.
sample_0066,apache/commons-collections,6cbcb9ebc66d4036d486bf002a2371291b2ab5fa,src/main/java/org/apache/commons/collections/collection/IndexedCollection.java,method,IndexedCollection,"public IndexedCollection(Collection<C> coll, Transformer<C, K> keyTransformer, HashMap<K, C> map)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,"Improved IndexedCollection, refactored test to comply with standard test framework."
sample_0067,apache/commons-collections,4303c163b15bd43cb34626c0cd2c7984e5644297,src/main/java/org/apache/commons/collections/iterators/CollatingIterator.java,method,least,private int least(),JAVADOC_MODIFICATION,METHOD_MODIFICATION,COLLECTIONS-331,"Add change for 3.2.2 also for 4.0 release, fix javadoc for . git-svn-id: https://svn.apache.org/repos/asf/commons/proper/collections/trunk@1366195 13f79535-47bb-0310-9956-ffa450edef68"
sample_0068,apache/commons-collections,7c8c58f1468023e4512d13a0b9fc60df9a3b15ce,src/main/java/org/apache/commons/collections/set/MapBackedSet.java,method,mapBackedSet,"public static <E, V> MapBackedSet<E, V> mapBackedSet(Map<E, ? super V> map)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,COLLECTIONS-231,apply signature change to factory method.
sample_0069,apache/commons-collections,c7e9e83f831de261eefbf0e29380fff125eb9eb3,src/main/java/org/apache/commons/collections/list/FixedSizeList.java,method,fixedSizeList,public static <E> FixedSizeList<E> fixedSizeList(List<E> list),JAVADOC_MODIFICATION,METHOD_MODIFICATION,COLLECTIONS-231,apply signature change to factory method.
sample_0070,apache/commons-collections,c7e9e83f831de261eefbf0e29380fff125eb9eb3,src/main/java/org/apache/commons/collections/list/GrowthList.java,method,growthList,public static <E> GrowthList<E> growthList(List<E> list),JAVADOC_MODIFICATION,METHOD_MODIFICATION,COLLECTIONS-231,apply signature change to factory method.
sample_0071,apache/commons-collections,c7e9e83f831de261eefbf0e29380fff125eb9eb3,src/main/java/org/apache/commons/collections/list/LazyList.java,method,lazyList,"public static <E> LazyList<E> lazyList(List<E> list, Factory<? extends E> factory)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,COLLECTIONS-231,apply signature change to factory method.
sample_0072,apache/commons-collections,cae889f3c01cd6e022d98530e867eb48abc03427,src/main/java/org/apache/commons/collections/CollectionUtils.java,method,subtract,"public static <O> Collection<O> subtract(final Iterable<? extends O> a, final Iterable<? extends O> b, final Predicate<O> p)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,COLLECTIONS-412,Improved performance of CollectionUtils#subtract. Thanks to Adrian Nistor for report and patch.
