sample_id,repo,commit_hash,file_path,entity_type,entity_name,entity_signature,javadoc_change_type,method_change_type,quality,issue_id,issue_summary
sample_0011,apache/commons-lang,177911e47146db0df2e35839d6bd03ad1315916c,src/main/java/org/apache/commons/lang3/ObjectUtils.java,method,defaultIfNull,"@Deprecated public static <T> T defaultIfNull(final T object, final T defaultValue)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,#1355,"Add ObjectUtils.getIfNull(Object, Object) and deprecate defaultIfNull(Object, Object)"
sample_0012,apache/commons-lang,c2260f094d78c236bb8a2e3e153d422c7d7ad6bf,src/main/java/org/apache/commons/lang3/CachedRandomBits.java,method,nextBits,public int nextBits(final int bits),JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,LANG-1772,Restrict size of cache to prevent overflow errors
sample_0013,apache/commons-lang,744a8c30c6e49962b5b0b9fc14a2cccbefdd1cd9,src/main/java/org/apache/commons/lang3/RegExUtils.java,method,replaceFirst,"@Deprecated public static String replaceFirst(final String text, final Pattern regex, final String replacement)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,,Add RegExUtils methods typed to CharSequence input and deprecate old versions typed to String
sample_0014,apache/commons-lang,f43534ec04d4c4bae666033e2041ecde21c19a56,src/main/java/org/apache/commons/lang3/RegExUtils.java,method,replaceAll,"@Deprecated public static String replaceAll(final String text, final Pattern regex, final String replacement)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,,Add RegExUtils methods typed to CharSequence input and deprecate old versions typed to String
sample_0015,apache/commons-lang,096b05e89f55eacf574b3214c2dfe3692123afb9,src/main/java/org/apache/commons/lang3/function/Failable.java,method,run,public static <E extends Throwable> void run(final FailableRunnable<E> runnable),JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,,Make Failable.run(FailableRunnable) null-safe
sample_0016,apache/commons-lang,d2eff05cd0e8e50be033240b377a46f1293e3ccc,src/main/java/org/apache/commons/lang3/StringUtils.java,method,toString,"@Deprecated public static String toString(final byte[] bytes, final String charsetName)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,,Remove unused exception from deprecated StringUtils.toString(byte String)
sample_0017,apache/commons-lang,17c32087ad475b043e373e56f2a489d79046334d,src/main/java/org/apache/commons/lang3/RandomStringUtils.java,class,RandomStringUtils,public class RandomStringUtils,JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,,Random[String]Utils.secure() now uses SecureRandom() instead of SecureRandom.getInstanceStrong()
sample_0018,apache/commons-lang,17c32087ad475b043e373e56f2a489d79046334d,src/main/java/org/apache/commons/lang3/RandomUtils.java,class,RandomUtils,public class RandomUtils,JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,,Random[String]Utils.secure() now uses SecureRandom() instead of SecureRandom.getInstanceStrong()
sample_0019,apache/commons-lang,c95ee37dffd44b01d2b816e0d943013bc7bd866c,src/main/java/org/apache/commons/lang3/RandomStringUtils.java,class,RandomStringUtils,public class RandomStringUtils,JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,#1250,Feature/randomutils secure() and insecure()
sample_0020,apache/commons-lang,c95ee37dffd44b01d2b816e0d943013bc7bd866c,src/main/java/org/apache/commons/lang3/RandomUtils.java,class,RandomUtils,public class RandomUtils,JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,#1250,Feature/randomutils secure() and insecure()
sample_0021,apache/commons-lang,8e05b7141a8fc302b35f412834d660f234a10648,src/main/java/org/apache/commons/lang3/ArrayFill.java,method,fill,"public static byte[] fill(final byte[] a, final byte val)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,,Make ArrayFill null-safe
sample_0022,apache/commons-lang,aa4eef85cfd88e55677df238b44c6cc463d0af91,src/main/java/org/apache/commons/lang3/builder/DiffBuilder.java,method,build,public DiffBuilder<T> build(),JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,LANG-1724,Customize text pattern in DiffResult#toString()
sample_0023,apache/commons-lang,6a65b76f2ab90cad2c297ff0d9f747ebb982e515,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,method,getMantissa,"private static String getMantissa(final String str, final int stopPos)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,LANG-1723,"Throw NumberFormatException instead of IndexOutOfBoundsException in NumberUtils.getMantissa(String, int)"
sample_0024,apache/commons-lang,3935fa2f193a0cc652300677beeb61b535eedf4c,src/main/java/org/apache/commons/lang3/exception/ExceptionUtils.java,method,rethrow,@Deprecated public static <T> T rethrow(final Throwable throwable),JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,,"Add ExceptionUtils.asRuntimeException(T), and deprecate rethrow(T)"
sample_0025,apache/commons-lang,a4fc02f69df6f28f6a52b41d601e3df64fda891c,src/main/java/org/apache/commons/lang3/concurrent/ConcurrentInitializer.java,class,ConcurrentInitializer,"public interface ConcurrentInitializer<T> extends FailableSupplier<T, ConcurrentException>",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,,"ConcurrentInitializer extends FailableSupplier<T, ConcurrentException>"
sample_0026,apache/commons-lang,ede98ffdb928586528a8b2876b049cb8bf362926,src/main/java/org/apache/commons/lang3/builder/ReflectionToStringBuilder.java,method,ReflectionToStringBuilder,public ReflectionToStringBuilder(final Object object),JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,,Return ToStringStyle.nullText instead of NPE for ReflectionToStringBuilder.toString(Object) and friends.
sample_0027,apache/commons-lang,85959a457076b740380c4d6f3d83098edd17a9e7,src/main/java/org/apache/commons/lang3/time/DurationFormatUtils.java,class,DurationFormatUtils,public class DurationFormatUtils,JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,#1062,Syntax for optional tokens in DurationFormatUtils
sample_0028,apache/commons-lang,85212f1738e98bd90767b0c8106fb76b38151591,src/main/java/org/apache/commons/lang3/time/DurationFormatUtils.java,method,Token,"Token(final Object value, final int count)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,,Make it obvious that DurationFormatUtils.Token wraps non-null values
sample_0029,apache/commons-lang,11b1bc19ab360afce8a48167002bfcb747faeb68,src/main/java/org/apache/commons/lang3/ThreadUtils.java,method,findThreadGroups,"@Deprecated public static Collection<ThreadGroup> findThreadGroups(final ThreadGroup threadGroup, final boolean recurse, final ThreadGroupPredicate predicate)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,,Deprecate ThreadUtils code that defines custom function interfaces in favor of stock java.util.function.Predicate usage.
sample_0030,apache/commons-lang,11b1bc19ab360afce8a48167002bfcb747faeb68,src/main/java/org/apache/commons/lang3/ThreadUtils.java,method,findThreads,"@Deprecated public static Collection<Thread> findThreads(final ThreadGroup threadGroup, final boolean recurse, final ThreadPredicate predicate)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,,Deprecate ThreadUtils code that defines custom function interfaces in favor of stock java.util.function.Predicate usage.
sample_0031,apache/commons-lang,eb07b19f4a23d443a1fa1005c344d78f79c0f110,src/main/java/org/apache/commons/lang3/ObjectUtils.java,method,isEmpty,public static boolean isEmpty(final Object object),JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,#933,Lang 1689 add optional to objectutils isempty
sample_0032,apache/commons-lang,78ce2d79f2b1341bfc366b1fde487d960493a08a,src/main/java/org/apache/commons/lang3/event/EventListenerSupport.java,method,invoke,"@Override public Object invoke(final Object unusedProxy, final Method method, final Object[] args) throws IllegalAccessException, IllegalArgumentException, InvocationTargetException",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,,More precise exceptions
sample_0033,apache/commons-lang,1926e35e3e1e94a43c64cb4d65f51d115fae02cd,src/main/java/org/apache/commons/lang3/exception/ExceptionUtils.java,method,getStackTrace,public static String getStackTrace(final Throwable throwable),JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,#733,Fixed NPE getting Stack Trace if Throwable is null
sample_0034,apache/commons-lang,c82d9a4809a94280adb25cd46151bdf139518f1d,src/main/java/org/apache/commons/lang3/time/DateFormatUtils.java,method,format,"public static String format(final Calendar calendar, final String pattern)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,LANG-1462,Use TimeZone from calendar in DateFormatUtils.
sample_0035,apache/commons-lang,4369537d8b1387b94a1126a36a4fc400a35d35cc,src/main/java/org/apache/commons/lang3/ArrayUtils.java,method,toPrimitive,public static boolean[] toPrimitive(final Boolean[] array),JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,,ArrayUtils.toPrimitive(Boolean...) null array elements map to false like Boolean.parseBoolean(null) and its callers return false.
sample_0036,apache/commons-lang,4369537d8b1387b94a1126a36a4fc400a35d35cc,src/main/java/org/apache/commons/lang3/BooleanUtils.java,method,and,public static Boolean and(final Boolean... array),JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,,ArrayUtils.toPrimitive(Boolean...) null array elements map to false like Boolean.parseBoolean(null) and its callers return false.
sample_0037,apache/commons-lang,4369537d8b1387b94a1126a36a4fc400a35d35cc,src/main/java/org/apache/commons/lang3/BooleanUtils.java,method,or,public static Boolean or(final Boolean... array),JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,,ArrayUtils.toPrimitive(Boolean...) null array elements map to false like Boolean.parseBoolean(null) and its callers return false.
